item_id,status,created_at,sku,price,qty_ordered,grand_total,increment_id,category_name_1,sales_commission_code,discount_amount,payment_method,Working Date,BI Status, MV ,Year,Month,Customer Since,M-Y,FY,Customer ID
211131,complete,07/01/2016,kreations_YI 06-L,1950,1,1950,100147443,Women's Fashion,\N,0,cod,07/01/2016,#REF!,"1,950",2016,7,2016-7,Jul-16,FY17,1
211169,complete,07/01/2016,kcc_krone deal,360,1,360,100147467,Beauty & Grooming,R-FSD-58130,0,cod,07/01/2016,Net,360,2016,7,2016-7,Jul-16,FY17,20
211205,canceled,07/01/2016,HOS_JPGCW100,8100,3,24588,100147489,Beauty & Grooming,104835,0,cod,07/01/2016,Gross,"24,300",2016,7,2016-7,Jul-16,FY17,39
211239,complete,07/01/2016,Dany_AUK-650 ,4200,1,4200,100147516,Mobiles & Tablets,R-LHW-105666,0,cod,07/01/2016,Net,"4,200",2016,7,2016-7,Jul-16,FY17,46
211274,complete,07/01/2016,kcc_Buy 2 Frey Air Freshener & Get 1 Kasual Body Spray Free,240,1,240,100147542,Beauty & Grooming,C-MUX-48271,0,cod,07/01/2016,Net,240,2016,7,2016-7,Jul-16,FY17,43
211308,order_refunded,07/01/2016,UK_Namkino Mix Nimco 8 Pcs Gift Pack,760,1,760,100147566,Soghaat,C-RWP-41876,0,cod,07/01/2016,Valid,760,2016,7,2016-7,Jul-16,FY17,33
211340,complete,07/01/2016,kcc_glamour deal,320,1,320,100147587,Beauty & Grooming,C-RWP-31691,0,cod,07/01/2016,Net,320,2016,7,2016-7,Jul-16,FY17,33
211375,complete,07/01/2016,kcc_krone deal,360,1,360,100147616,Beauty & Grooming,C-MUX-100079,0,cod,07/01/2016,Net,360,2016,7,2016-7,Jul-16,FY17,43
211409,complete,07/01/2016,kkc_Rose Oasis Prickly Heat Powder,80,1,80,100147640,Beauty & Grooming,R-RWP-103991,0,cod,07/01/2016,Net,80,2016,7,2016-7,Jul-16,FY17,66
211446,complete,07/01/2016,MEGUIAR_X3070,570,1,1013,100147663,Others,\N,0,cod,07/01/2016,Net,570,2016,7,2016-7,Jul-16,FY17,91
211480,order_refunded,07/01/2016,bata_leena-6618940-39-6,399,1,399,100147693,Women's Fashion,\N,0,cod,07/01/2016,Valid,399,2016,7,2016-7,Jul-16,FY17,103
211514,canceled,07/01/2016,sst_Logic  3-Regular fit-Medium,1950,1,1950,100147723,Men's Fashion,105259,0,ublcreditcard,07/01/2016,Gross,"1,950",2016,7,2016-7,Jul-16,FY17,11
211548,complete,07/01/2016,kcc_glamour deal,320,1,320,100147753,Beauty & Grooming,C-MUX-30078,0,cod,07/01/2016,Net,320,2016,7,2016-7,Jul-16,FY17,43
211583,canceled,07/01/2016,Tiraaz_Tm-01-001-M,2508,1,2508,100147780,Men's Fashion,\N,0,cod,07/01/2016,Gross,"2,508",2016,7,2016-7,Jul-16,FY17,131
211623,complete,07/01/2016,kcc_krone deal,360,1,360,100147811,Beauty & Grooming,C-MUX-105333,0,cod,07/01/2016,Net,360,2016,7,2016-7,Jul-16,FY17,143
211657,order_refunded,07/01/2016,PHILIPS_HP8600_32,2950,1,2950,100147837,Beauty & Grooming,\N,0,cod,07/01/2016,Valid,"2,950",2016,7,2016-7,Jul-16,FY17,156
211692,complete,07/01/2016,kcc_Buy 2 Frey Air Freshener & Get 1 Kasual Body Spray Free,240,10,2400,100147857,Beauty & Grooming,R-FSD-58130,0,cod,07/01/2016,Net,"2,400",2016,7,2016-7,Jul-16,FY17,20
211730,complete,07/01/2016,J&J_JJR-4,149,1,149,100147887,Kids & Baby,\N,0,cod,07/01/2016,Net,149,2016,7,2016-7,Jul-16,FY17,183
211770,complete,07/02/2016,vitamin_Milk Thistle Liver Formula,480,1,480,100147912,Health & Sports,\N,0,cod,07/02/2016,Net,480,2016,7,2016-7,Jul-16,FY17,202
211808,complete,07/02/2016,RS_Sohan Halwa_Tin-1000 GM,600,2,1200,100147938,Soghaat,\N,0,cod,07/02/2016,Net,"1,200",2016,7,2016-7,Jul-16,FY17,219
